date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
8/14/1996,Peru,Costa Rica,South America,North America,3,0,Friendly,FALSE,No,Win
8/14/1996,Romania,Israel,Europe,Europe,2,0,Friendly,FALSE,No,Win
8/14/1996,Sweden,Denmark,Europe,Europe,0,1,Friendly,FALSE,No,Lose
8/14/1996,Turkey,Moldova,Europe,Europe,2,0,Friendly,FALSE,No,Win
8/16/1996,Ecuador,Costa Rica,South America,North America,1,1,Friendly,FALSE,No,Draw
8/17/1996,Rwanda,Uganda,Africa,Africa,0,0,Friendly,FALSE,No,Draw
8/18/1996,Guatemala,Honduras,North America,North America,1,1,Friendly,TRUE,No,Draw
8/20/1996,Belarus,United Arab Emirates,Europe,Asia,0,1,Friendly,TRUE,No,Lose
8/20/1996,Oman,Mali,Asia,Africa,1,0,Friendly,FALSE,No,Win
8/20/1996,Togo,Benin,Africa,Africa,2,0,Friendly,FALSE,No,Win
8/21/1996,El Salvador,Honduras,North America,North America,1,2,Friendly,FALSE,No,Lose
8/22/1996,Oman,Mali,Asia,Africa,1,1,Friendly,FALSE,No,Draw
8/24/1996,Panama,Jamaica,North America,North America,2,0,Friendly,FALSE,No,Win
8/24/1996,Seychelles,Mauritius,Africa,Africa,1,1,African Cup of Nations qualification,FALSE,No,Draw
8/25/1996,Ethiopia,Uganda,Africa,Africa,1,1,African Cup of Nations qualification,FALSE,Yes,Win
8/25/1996,Honduras,Cuba,North America,North America,4,0,Friendly,FALSE,No,Win
8/25/1996,Japan,Uruguay,Asia,South America,5,3,Friendly,FALSE,No,Win
8/25/1996,Namibia,Botswana,Africa,Africa,6,0,African Cup of Nations qualification,FALSE,No,Win
8/25/1996,Togo,Congo,Africa,Africa,1,0,African Cup of Nations qualification,FALSE,No,Win
8/27/1996,Guatemala,Jamaica,North America,North America,2,1,Friendly,FALSE,No,Win
8/27/1996,Poland,Cyprus,Europe,Europe,2,2,Friendly,FALSE,No,Draw
8/28/1996,Honduras,Cuba,North America,North America,2,2,Friendly,FALSE,No,Draw
8/28/1996,Oman,Sudan,Asia,Africa,0,0,Friendly,FALSE,No,Draw
8/28/1996,Russia,Brazil,Europe,South America,2,2,Friendly,FALSE,No,Draw
8/30/1996,Canada,Panama,North America,North America,3,1,FIFA World Cup qualification,FALSE,No,Win
8/30/1996,Guatemala,Cuba,North America,North America,1,1,Friendly,FALSE,No,Draw
8/30/1996,Mauritania,Benin,Africa,Africa,0,0,African Cup of Nations qualification,FALSE,No,Draw
8/30/1996,USA,El Salvador,North America,North America,3,1,Friendly,FALSE,No,Win
8/31/1996,Armenia,Portugal,Europe,Europe,0,0,FIFA World Cup qualification,FALSE,No,Draw
8/31/1996,Austria,Scotland,Europe,Europe,0,0,FIFA World Cup qualification,FALSE,No,Draw
8/31/1996,Azerbaijan,Switzerland,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
8/31/1996,Belarus,Estonia,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
8/31/1996,Belgium,Turkey,Europe,Europe,2,1,FIFA World Cup qualification,FALSE,No,Win
8/31/1996,Faroe Islands,Slovakia,Europe,Europe,1,2,FIFA World Cup qualification,FALSE,No,Lose
8/31/1996,France,Mexico,Europe,North America,2,0,Friendly,FALSE,No,Win
8/31/1996,Liechtenstein,Republic of Ireland,Europe,Europe,0,5,FIFA World Cup qualification,FALSE,No,Lose
8/31/1996,Netherlands,Brazil,Europe,South America,2,2,Friendly,FALSE,No,Draw
8/31/1996,Northern Ireland,Ukraine,Europe,Europe,0,1,FIFA World Cup qualification,FALSE,No,Lose
8/31/1996,Oman,Sudan,Asia,Africa,0,1,Friendly,FALSE,No,Lose
8/31/1996,Romania,Lithuania,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
8/31/1996,Wales,San Marino,Europe,Europe,6,0,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Argentina,Paraguay,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/1/1996,Bolivia,Peru,South America,South America,0,0,FIFA World Cup qualification,FALSE,No,Draw
9/1/1996,Colombia,Chile,South America,South America,4,1,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Ecuador,Venezuela,South America,South America,1,0,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Greece,Bosnia and Herzegovina,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Hungary,Finland,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Israel,Bulgaria,Europe,Europe,2,1,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Latvia,Sweden,Europe,Europe,1,2,FIFA World Cup qualification,FALSE,No,Lose
9/1/1996,Moldova,England,Europe,Europe,0,3,FIFA World Cup qualification,FALSE,No,Lose
9/1/1996,Norway,Georgia,Europe,Europe,1,0,Friendly,FALSE,No,Win
9/1/1996,Russia,Cyprus,Europe,Europe,4,0,FIFA World Cup qualification,FALSE,No,Win
9/1/1996,Singapore,Malaysia,Asia,Asia,1,1,AFF Championship,FALSE,No,Draw
9/1/1996,Slovenia,Denmark,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
9/1/1996,Trinidad and Tobago,Costa Rica,South America,North America,0,1,FIFA World Cup qualification,FALSE,No,Lose
9/2/1996,Cambodia,Vietnam,Asia,Asia,1,3,AFF Championship,TRUE,No,Lose
9/2/1996,Laos,Indonesia,Asia,Asia,1,5,AFF Championship,TRUE,No,Lose
9/2/1996,Philippines,Thailand,Asia,Asia,0,5,AFF Championship,TRUE,No,Lose
9/4/1996,Czech Republic,Iceland,Europe,Europe,2,1,Friendly,FALSE,No,Win
9/4/1996,Faroe Islands,Spain,Europe,Europe,2,6,FIFA World Cup qualification,FALSE,No,Lose
9/4/1996,Jamaica,Costa Rica,North America,North America,2,0,Friendly,FALSE,No,Win
9/4/1996,Malaysia,Philippines,Asia,Asia,7,0,AFF Championship,TRUE,No,Win
9/4/1996,Poland,Germany,Europe,Europe,0,2,Friendly,FALSE,No,Lose
9/4/1996,Singapore,Brunei Darussalam,Asia,Asia,3,0,AFF Championship,FALSE,No,Win
9/5/1996,Myanmar,Cambodia,Asia,Asia,5,0,AFF Championship,TRUE,No,Win
9/5/1996,Laos,Vietnam,Asia,Asia,1,1,AFF Championship,TRUE,No,Draw
9/5/1996,Lebanon,Oman,Asia,Asia,1,2,Friendly,FALSE,No,Lose
9/6/1996,Singapore,Philippines,Asia,Asia,3,0,AFF Championship,FALSE,No,Win
9/6/1996,Thailand,Brunei Darussalam,Asia,Asia,6,0,AFF Championship,TRUE,No,Win
9/7/1996,Myanmar,Vietnam,Asia,Asia,1,4,AFF Championship,TRUE,No,Lose
9/7/1996,Indonesia,Cambodia,Asia,Asia,3,0,AFF Championship,TRUE,No,Win
9/8/1996,Brunei Darussalam,Philippines,Asia,Asia,1,0,AFF Championship,TRUE,No,Win
9/8/1996,El Salvador,Cuba,North America,North America,5,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1996,Thailand,Malaysia,Asia,Asia,1,1,AFF Championship,TRUE,No,Draw
